id,device_id,before_path,after_path,location,timestamp,operation_time_minutes,gas_data,district,division,area,gas_data_raw,robo_id,waste_collected_kg,blockage_level,,gas_level
1,MH-0001,uploads/MH-0001_before_1753785580_4806.jpg,uploads/MH-0001_after_1753785580_9564.jpg,"17.475066,78.491433",2025-07-29T16:09:40.525037+00:00,22,"{""CO"": 3.81, ""CH4"": 38.53, ""H2S"": 1.31}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 3.81, ""CH4"": 38.53, ""H2S"": 1.31}",sb_006,10,high,,high
2,MH-0001,uploads/MH-0001_before_1753784200_7938.jpg,uploads/MH-0001_after_1753784200_5855.jpg,"17.475066,78.491433",2025-07-29T15:46:40.525037+00:00,19,"{""CO"": 4.6, ""CH4"": 84.28, ""H2S"": 19.67}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 4.6, ""CH4"": 84.28, ""H2S"": 19.67}",sb_010,8,low,,low
3,MH-0001,uploads/MH-0001_before_1753782580_5114.jpg,uploads/MH-0001_after_1753782580_4760.jpg,"17.475066,78.491433",2025-07-29T15:19:40.525037+00:00,24,"{""CO"": 2.14, ""CH4"": 93.09, ""H2S"": 5.19}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 2.14, ""CH4"": 93.09, ""H2S"": 5.19}",sb_008,5,low,,low
4,MH-0001,uploads/MH-0001_before_1753780960_4813.jpg,uploads/MH-0001_after_1753780960_9294.jpg,"17.475066,78.491433",2025-07-29T14:52:40.525037+00:00,30,"{""CO"": 1.52, ""CH4"": 3.7, ""H2S"": 8.71}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 1.52, ""CH4"": 3.7, ""H2S"": 8.71}",sb_001,6,high,,high
5,MH-0001,uploads/MH-0001_before_1753779700_3728.jpg,uploads/MH-0001_after_1753779700_7146.jpg,"17.475066,78.491433",2025-07-29T14:31:40.525037+00:00,19,"{""CO"": 4.35, ""CH4"": 82.07, ""H2S"": 8.25}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 4.35, ""CH4"": 82.07, ""H2S"": 8.25}",sb_001,9,low,,low
6,MH-0001,uploads/MH-0001_before_1753778800_7528.jpg,uploads/MH-0001_after_1753778800_1194.jpg,"17.475066,78.491433",2025-07-29T14:16:40.525037+00:00,17,"{""CO"": 2.72, ""CH4"": 75.68, ""H2S"": 16.3}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 2.72, ""CH4"": 75.68, ""H2S"": 16.3}",sb_005,6,low,,low
7,MH-0002,uploads/MH-0002_before_1753785100_6947.jpg,uploads/MH-0002_after_1753785100_4754.jpg,"17.4734,78.496299",2025-07-29T16:01:40.525037+00:00,30,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",sb_002,10,high,,high
8,MH-0002,uploads/MH-0002_before_1753783360_1240.jpg,uploads/MH-0002_after_1753783360_7213.jpg,"17.4734,78.496299",2025-07-29T15:32:40.525037+00:00,15,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",sb_008,4,low,,low
9,MH-0002,uploads/MH-0002_before_1753781800_8099.jpg,uploads/MH-0002_after_1753781800_9110.jpg,"17.4734,78.496299",2025-07-29T15:06:40.525037+00:00,18,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",sb_010,3,medium,,medium
10,MH-0002,uploads/MH-0002_before_1753780780_6672.jpg,uploads/MH-0002_after_1753780780_2234.jpg,"17.4734,78.496299",2025-07-29T14:49:40.525037+00:00,15,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",Hyderabad,Division 119 (Old Bowenpally),Hasmathpet,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",sb_003,2,low,,low
